system,bibkey,generation,sharing_scope,consistency_model,placement_tier,transport_substrate,compression_fidelity,headline_metric
PagedAttention/vLLM,vllm23,Within-engine KV management & prefix reuse (Generation 1),RL (+CR via prefix cache),immutable; block-paged,GPU HBM,intra-GPU,none,2–4× throughput vs. FasterTransformer/Orca
SGLang RadixAttention,sglang23,Within-engine KV management & prefix reuse (Generation 1),CR (within server),immutable; radix-tree prefix,GPU HBM,intra-GPU,none,up to 6.4× throughput vs. vLLM on shared-prefix workloads
Orca,orca22,Within-engine KV management & prefix reuse (Generation 1),RL,n/a (request-local),GPU HBM,intra-GPU,none,36.9× throughput at same latency vs. FasterTransformer (iteration-level batching)
FlashAttention,flashattention22,Within-engine KV management & prefix reuse (Generation 1),RL,n/a (request-local),GPU SRAM/HBM,intra-GPU,none,"2–4× attention speedup, exact, IO-aware"
FlashAttention-2,flashattention2-23,Within-engine KV management & prefix reuse (Generation 1),RL,n/a (request-local),GPU SRAM/HBM,intra-GPU,none,~2× over FlashAttention; 50–73% of peak FLOPs
vAttention,vattention24,Within-engine KV management & prefix reuse (Generation 1),RL,immutable,GPU HBM (virtual-contiguous),intra-GPU,none,up to 1.23× throughput; no PagedAttention kernel rewrite
Hydragen,hydragen24,Within-engine KV management & prefix reuse (Generation 1),CR (shared prefix batch),immutable,GPU HBM,intra-GPU,none,up to 32× throughput on large shared-prefix batches
ChunkAttention,chunkattention24,Within-engine KV management & prefix reuse (Generation 1),CR,immutable; prefix-aware chunks,GPU HBM,intra-GPU,none,3.2–4.8× self-attention kernel speedup
Prompt Cache,promptcache24,Within-engine KV management & prefix reuse (Generation 1),CR (schema modules),immutable; schema-defined,GPU HBM + host DRAM,PCIe,none,"up to 8× TTFT reduction (GPU), 60× (CPU)"
Preble,preble24,Within-engine KV management & prefix reuse (Generation 1),CR (distributed prompts),immutable; cache-aware sched,GPU HBM (multi-GPU),RDMA,none,1.5–14.5× avg latency reduction vs. SGLang/vLLM
CachedAttention,cachedattention24,Within-engine KV management & prefix reuse (Generation 1),CR (multi-turn),session,GPU HBM + DRAM + SSD,PCIe,none,"up to 87% TTFT cut, 70% cost cut (multi-turn)"
Pensieve,pensieve23,Within-engine KV management & prefix reuse (Generation 1),CR (multi-turn),session,GPU HBM + host DRAM,PCIe,none,1.14–3.0× throughput vs. vLLM/TensorRT-LLM
RAGCache,ragcache24,Within-engine KV management & prefix reuse (Generation 1),CR (RAG knowledge),immutable; knowledge tree,GPU HBM + host DRAM,PCIe,none,"up to 4× TTFT reduction, 2.1× throughput for RAG"
DistServe,distserve24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (P↔D nodes),strong (handoff),GPU HBM (P and D pools),RDMA,none,up to 7.4× goodput / 12.6× tighter SLO
Splitwise,splitwise23,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (P↔D pools),strong (handoff),GPU HBM,InfiniBand,none,1.4× throughput at 20% lower cost; 2.35× at same cost
Mooncake,mooncake24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR + CT (KVCache pool),immutable; CA pool,GPU HBM + DRAM + SSD,RDMA,none,up to 525% throughput gain; meets SLOs under overload
MemServe,memserve24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR + CM (elastic pool),immutable; locality-aware,GPU HBM + host DRAM pool,RDMA,none,builds MemPool; locality-aware global scheduler
Sarathi-Serve,sarathiserve24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),RL,n/a (request-local),GPU HBM,intra-GPU,none,up to 5.6× serving capacity at SLO (chunked prefill)
LoongServe,loongserve24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (elastic seq parallel),strong (ESP migration),GPU HBM (multi-node),NVLink/RDMA,none,up to 3.85× throughput vs. chunked prefill
Microserving,microserving24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (sub-request KV APIs),strong (programmable),GPU HBM,RDMA,none,fine-grained KV-reuse APIs; dynamic reconfiguration
DéjàVu,dejavu24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (fault tolerance),strong (replicated stream),GPU HBM + DRAM,RDMA,none,KV streaming masks P/D and failure stalls
ServerlessLLM,serverlessllm24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (checkpoint locality),n/a (reload),GPU HBM + DRAM + SSD,PCIe/network,none,10–200× lower cold-start latency
FlowKV,flowkv25,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (P↔D transfer),strong (handoff),GPU HBM,RDMA,none,96% KV transfer-latency cut (0.944s→0.053s)
FastDecode,fastdecode24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),RL (attention offload),n/a (request-local),host DRAM (KV on CPU),PCIe,none,up to 1.88–5.9× throughput via CPU attention
Pie,pie24,Disaggregated / P-D-disaggregated serving & KV transfer (Generation 1.5),CR (CPU pooling),immutable; perf-transparent swap,GPU HBM + host DRAM,PCIe,none,expands usable memory w/ no latency penalty
CacheGen,cachegen23,KV compression / sparsity / quantization (compression-fidelity axis),CR (network streaming),immutable,DRAM/SSD → GPU,network/PCIe,lossy (custom codec),3.2–4.3× smaller KV; 3.1–4.7× lower TTFT
